provinsi,tahun,upah,daerah,jenis,peng,cluster_kmeans
ACEH,2015,11226,PERDESAAN,MAKANAN,395136.0,1
ACEH,2015,11226,PERDESAAN,NONMAKANAN,260183.0,1
ACEH,2015,11226,PERDESAAN,TOTAL,655319.0,9
ACEH,2015,11226,PERKOTAAN,MAKANAN,466355.0,1
ACEH,2015,11226,PERKOTAAN,NONMAKANAN,529945.0,1
ACEH,2015,11226,PERKOTAAN,TOTAL,996300.0,9
ACEH,2015,11226,PERDESAANPERKOTAAN,MAKANAN,415354.0,1
ACEH,2015,11226,PERDESAANPERKOTAAN,NONMAKANAN,336764.0,1
ACEH,2015,11226,PERDESAANPERKOTAAN,TOTAL,752118.0,9
ACEH,2016,13627,PERDESAAN,MAKANAN,412251.0,1
ACEH,2016,13627,PERDESAAN,NONMAKANAN,272829.0,1
ACEH,2016,13627,PERDESAAN,TOTAL,685080.0,9
ACEH,2016,13627,PERKOTAAN,MAKANAN,548853.0,1
ACEH,2016,13627,PERKOTAAN,NONMAKANAN,559492.0,7
ACEH,2016,13627,PERKOTAAN,TOTAL,1108346.0,0
ACEH,2016,13627,PERDESAANPERKOTAAN,MAKANAN,451952.0,1
ACEH,2016,13627,PERDESAANPERKOTAAN,NONMAKANAN,356142.0,1
ACEH,2016,13627,PERDESAANPERKOTAAN,TOTAL,808094.0,9
ACEH,2017,14809,PERDESAAN,MAKANAN,494150.0,7
ACEH,2017,14809,PERDESAAN,NONMAKANAN,287004.0,7
ACEH,2017,14809,PERDESAAN,TOTAL,781155.0,9
ACEH,2017,14809,PERKOTAAN,MAKANAN,610732.0,7
ACEH,2017,14809,PERKOTAAN,NONMAKANAN,576134.0,7
ACEH,2017,14809,PERKOTAAN,TOTAL,1186867.0,0
ACEH,2017,14809,PERDESAANPERKOTAAN,MAKANAN,529161.0,7
ACEH,2017,14809,PERDESAANPERKOTAAN,NONMAKANAN,373833.0,7
ACEH,2017,14809,PERDESAANPERKOTAAN,TOTAL,902994.0,9
ACEH,2018,13814,PERDESAAN,MAKANAN,506656.0,7
ACEH,2018,13814,PERDESAAN,NONMAKANAN,331248.0,1
ACEH,2018,13814,PERDESAAN,TOTAL,837905.0,9
